"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",5,6,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Triceps Kickback (Dumbbell)",,"",0,"normal",5,8,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Triceps Kickback (Dumbbell)",,"",1,"normal",5,8,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Triceps Kickback (Dumbbell)",,"",2,"normal",5,8,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Dead Bug",,"",0,"normal",,8,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Dead Bug",,"",1,"normal",,8,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Dead Bug",,"",2,"normal",,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Stretching",,"",0,"normal",,,,300,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Hip Thrust (Barbell)",,"",0,"normal",10,10,,,
"Home Gym - Wed","May 28, 2026, 9:26 PM","May 28, 2026, 10:19 PM","","Hip Thrust (Barbell)",,"",1,"normal",10,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Stretching",,"",0,"normal",,,,300,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Chest Supported Reverse Fly (Dumbbell)",,"",0,"normal",5,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Chest Supported Reverse Fly (Dumbbell)",,"",1,"normal",5,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Hammer Curl (Dumbbell)",,"",0,"normal",10,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Hammer Curl (Dumbbell)",,"",1,"normal",10,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Dumbbell Row",,"",0,"normal",10,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Dumbbell Row",,"",1,"normal",10,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Pullover (Dumbbell)",,"",0,"normal",10,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Pullover (Dumbbell)",,"",1,"normal",10,6,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Shrug (Dumbbell)",,"",0,"normal",10,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Shrug (Dumbbell)",,"",1,"normal",15,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Shrug (Dumbbell)",,"",2,"normal",15,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",7,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",10,12,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Hanging Knee Raise",,"",0,"normal",,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Triceps Kickback (Dumbbell)",,"",0,"normal",5,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Triceps Kickback (Dumbbell)",,"",1,"normal",5,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",10,10,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",10,6,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Romanian Deadlift (Dumbbell)",,"",0,"normal",10,8,,,
"Afternoon workout 💪","May 25, 2026, 5:07 PM","May 25, 2026, 5:48 PM","","Romanian Deadlift (Dumbbell)",,"",1,"normal",5,10,,,
"Evening workout 🏋️","May 24, 2026, 8:47 PM","May 24, 2026, 9:12 PM","","Walking",,"",0,"normal",,,,1500,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Squat (Bodyweight)",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Squat (Bodyweight)",,"",1,"normal",,10,,,
